_id,County,Jurisdiction,Planning Period,Record Type,Review Status,Date Received,Date Reviewed,Compliance Status
99,KERN,DELANO,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
100,KERN,KERN COUNTY,6,INITIAL DRAFT,OUT,12/7/2023,3/6/2024,OUT
101,KERN,MARICOPA,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
102,KERN,MCFARLAND,6,INITIAL DRAFT,OUT,12/1/2022,3/1/2023,IN
103,KERN,RIDGECREST,6,INITIAL DRAFT,OUT,10/23/2023,1/17/2024,OUT
104,KERN,SHAFTER,6,ADOPTED,IN REVIEW,3/7/2024,,OUT
105,KERN,TAFT,6,NEW CYCLE,DUE,12/31/2023,12/31/2023,OUT
106,KERN,TEHACHAPI,6,INITIAL DRAFT,OUT,12/4/2023,3/1/2024,OUT
107,KERN,WASCO,6,SUBSEQUENT DRAFT,IN REVIEW,1/24/2024,,OUT
108,KINGS,AVENAL,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
109,KINGS,CORCORAN,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
110,KINGS,HANFORD,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
111,KINGS,KINGS COUNTY,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
112,KINGS,LEMOORE,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
113,LAKE,CLEARLAKE,6,ADOPTED,IN,10/28/2019,12/5/2019,IN
114,LAKE,LAKE COUNTY,6,ADOPTED,IN,6/18/2020,9/16/2020,IN
115,LAKE,LAKEPORT,6,ADOPTED,IN,7/20/2020,7/28/2020,IN
116,LASSEN,LASSEN COUNTY,7,INITIAL DRAFT,IN REVIEW,3/11/2024,,IN
117,LASSEN,SUSANVILLE,6,ADOPTED,IN,4/14/2020,4/28/2020,IN
118,LOS ANGELES,AGOURA HILLS,6,ADOPTED,IN,8/15/2022,10/12/2022,IN
119,LOS ANGELES,ALHAMBRA,6,ADOPTED,IN REVIEW,1/26/2024,,OUT
120,LOS ANGELES,ARCADIA,6,ADOPTED,IN,12/12/2023,2/9/2024,IN
121,LOS ANGELES,ARTESIA,6,ADOPTED,OUT,3/23/2022,5/20/2022,OUT
122,LOS ANGELES,AVALON,6,ADOPTED,IN,9/29/2022,10/12/2022,IN
123,LOS ANGELES,AZUSA,6,ADOPTED,IN,6/23/2023,7/27/2023,IN
124,LOS ANGELES,BALDWIN PARK,6,ADOPTED,IN,7/20/2023,8/24/2023,IN
125,LOS ANGELES,BELL,6,ADOPTED,IN,10/13/2022,10/15/2022,IN
126,LOS ANGELES,BELL GARDENS,6,ADOPTED,IN,7/27/2022,8/18/2022,IN
127,LOS ANGELES,BELLFLOWER,6,ADOPTED,IN,7/21/2022,9/9/2022,IN
